"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"11","Ambophthalmos angustus","Ambophthalmos","angustus",5755,"(Nelson, 1977)","Pale toadfish",NA,NA,NA,NA,282,NA,2398,NA,NA,"o",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,549,629,58018,NA,NA,NA,NA,NA,NA,NA,25.38,29,"SL",NA,NA,38032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.625,0,113,"1998-04-01T00:00:00.000Z",113,"2008-07-14T00:00:00.000Z",NA,NA,NA,47425
"12","Anarhichas denticulatus","Anarhichas","denticulatus",4694,"Krøyer, 1845","Northern wolffish","Anden_u5.jpg",NA,NA,NA,396,NA,4140,NA,"elongated","R",NA,NA,0,0,0,-1,"benthopelagic","oceanodromous",51243,60,1700,58426,100,900,NA,NA,NA,NA,NA,78.1,180,"TL",NA,NA,7251,NA,NA,NA,NA,NA,20000,NA,7251,NA,NA,NA,NA,NA,"of no interest",NA,NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits offshore waters in midwater; adults also near bottom from 60-970 m, mainly 100-900 m (Ref. 4694).  Epibenthic (Ref. 58426).  Feeds on sea gooseberries, medusas, small fishes, also echinoderms, crustaceans and mollusks (not so hard-shelled) (Ref. 4694).  Spawns at great depths (Ref. 44162).",NA,0.5938,0,1,"1991-05-01T00:00:00.000Z",1472,"2007-07-06T00:00:00.000Z",NA,NA,NA,3810
"13","Anarhichas lupus","Anarhichas","lupus",4694,"Linnaeus, 1758","Atlantic wolffish","Anlup_u8.jpg",NA,NA,NA,396,NA,4140,NA,"elongated","R",NA,NA,0,0,0,-1,"demersal","oceanodromous",51243,1,600,58426,18,110,7135,NA,NA,NA,NA,66.72,150,"TL",NA,NA,7251,NA,NA,NA,NA,NA,23580,NA,40637,"ANLUP_U0",NA,NA,NA,4931,"highly commercial","low","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000","Europe, Iceland","trawls",NA,0,0,0,-1,0,-1,0,0,-1,-1,"experimental",NA,6407,"never/rarely",NA,"public aquariums","based mainly on capture",12253,-1,4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit rocky bottoms, sometimes over sand or mud, from 1-500 m (Ref. 9988).  Benthic (Ref. 58426).  Feeds on fishes (Ref. 58426), hard-shelled mollusks, crabs, lobsters, sea urchins and other echinoderms.  Solitary in habit (Ref. 9988).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",NA,0.5938,0,2,"1991-03-07T00:00:00.000Z",393,"2010-03-31T00:00:00.000Z",1,"1996-12-16T00:00:00.000Z",NA,2501
"14","Anarhichas minor","Anarhichas","minor",4694,"Olafsen, 1772","Spotted wolffish","Anmin_u0.jpg",NA,NA,NA,396,NA,4140,NA,"elongated","R",NA,NA,0,0,0,-1,"demersal","oceanodromous",51243,25,600,35388,100,400,NA,NA,NA,NA,NA,80.34,180,"TL",NA,NA,7251,120,"TL",NA,NA,4694,27900,NA,40637,"ANMIN_U0",NA,NA,NA,8984,"minor commercial","low","Reliable: based on ex-vessel price for this species",NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits offshore waters over soft bottoms, often with boulders, from 25-590 m, but most common from 100-400 m (Ref. 4694).  Benthic (Ref. 58426).  Feeds mainly on echinoderms, but also crustaceans, mollusks, fishes (Ref. 4694) and worms (Ref. 58426).  In Barents sea, it reached at least 80 cm, age 9 years.  Marketed fresh or as frozen fillets.  Leather can be made of the skin (Ref. 35388).",NA,0.5938,0,1,"1991-05-01T00:00:00.000Z",113,"2007-07-06T00:00:00.000Z",NA,NA,NA,3811
"15","Anarhichas orientalis","Anarhichas","orientalis",559,"Pallas, 1814","Bering wolffish","Anori_u0.gif",NA,NA,NA,396,NA,4140,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,100,50550,10,70,56527,NA,NA,NA,NA,64.53,112,"TL",NA,NA,56527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Questionable: based on ex-vessel price for species in this genus",NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on rocky bottoms (Ref. 559).  Benthic (Ref. 58426).  Feeds on hard-shelled invertebrates (Ref. 28499).",NA,0.5938,0,1,"1991-05-01T00:00:00.000Z",113,"2007-07-06T00:00:00.000Z",10,"1994-09-06T00:00:00.000Z",NA,3812
"16","Anarrhichthys ocellatus","Anarrhichthys","ocellatus",2850,"Ayres, 1855","Wolf-eel","Anoce_u4.jpg",NA,NA,NA,396,NA,2658,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,1,226,2850,NA,NA,NA,NA,NA,NA,NA,84.78,240,"TL",NA,NA,4925,NA,NA,NA,NA,NA,18400,NA,27436,NA,NA,NA,NA,2850,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,-1,0,0,-1,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",9183,0,NA,"traumatogenic",2850,"no special ability",NA,NA,-1,"Adults seek shelter among rocks in subtidal areas (Ref. 2850) and will occupy the same shelter until driven out by larger wolf-eels or a large octopus (Ref. 28499).  Juveniles are pelagic for up to two years (Ref. 28499).  Feed on hard-shelled invertebrates and fishes (Ref. 2850).  Both male and female wrap their body around the egg mass to keep the eggs in place and to deter predators (Ref. 58332).  Large specimens can inflict a painful bite (Ref. 28499).  Its flesh is tasty (Ref. 28499).",NA,1.0312,0,1,"1991-05-01T00:00:00.000Z",2,"2007-05-23T00:00:00.000Z",113,"1996-08-30T00:00:00.000Z",NA,3813
"17","Anisarchus medius","Anisarchus","medius",2850,"(Reinhardt, 1837)","Stout eelblenny","Anmed_u0.jpg",NA,NA,NA,393,"Lumpeninae",7,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,10,300,50550,30,100,10571,NA,NA,NA,NA,45.4,30,"TL",NA,NA,56557,12,"TL",NA,NA,10571,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on muddy bottoms, generally preferring water below 0°C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).",NA,0.75,0,1,"1991-05-01T00:00:00.000Z",1472,"2007-07-06T00:00:00.000Z",10,"1994-07-27T00:00:00.000Z",NA,3789
"18","Anoplagonus inermis","Anoplagonus","inermis",2850,"(Günther, 1860)","Smooth alligatorfish",NA,NA,NA,NA,283,"Anoplagoninae",259,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,8,102,2850,NA,NA,NA,NA,NA,NA,NA,27.08,15,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Often found among rocks (Ref. 2850).  Usually caught by shrimp trawlers (Ref. 4925).",NA,0.75,0,1,"1991-05-01T00:00:00.000Z",14,"2005-03-14T00:00:00.000Z",113,"1996-09-24T00:00:00.000Z",NA,4155
"19","Anoplarchus purpurescens","Anoplarchus","purpurescens",2850,"Gill, 1861","High cockscomb","Anpur_u0.jpg",NA,NA,NA,393,"Xiphisterinae",7588,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,1,30,2850,NA,NA,NA,NA,NA,NA,NA,29.08,20,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Usually found in intertidal areas under rocks (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Green algae is an important food item but may also feed on polychaete worms, crustaceans and mollusks (Ref. 6885).  Breathes air (Ref. 31184) and can remain out of water for 15-25 hours if kept moist (Ref. 51276).",NA,0.75,0,1,"1991-05-01T00:00:00.000Z",14,"2005-10-04T00:00:00.000Z",10,"1994-07-27T00:00:00.000Z",NA,3776
"20","Anoplopoma fimbria","Anoplopoma","fimbria",2850,"(Pallas, 1814)","Sablefish","Anfim_u1.jpg",NA,NA,NA,270,NA,3471,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"bathydemersal","oceanodromous",51243,175,2740,6793,175,1450,10935,94,55701,NA,NA,55.72,120,"TL",NA,NA,9988,80,"TL",NA,NA,9988,NA,NA,NA,NA,NA,NA,NA,4931,"highly commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000",NA,"seines",NA,0,0,0,-1,0,-1,0,0,-1,0,"likely future use",NA,6885,"never/rarely",NA,"public aquariums","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Most of the catch is marketed in Japan (Ref. 28499).  Utilized fresh, dried or salted and smoked (Ref. 9988), can be steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988).  The liver oil is rich in vitamin A and D (Ref. 4925).  Reported to reach 57 kg in Ref. 2850.",NA,1.25,0,1,"1990-10-17T00:00:00.000Z",2,"2016-07-13T00:00:00.000Z",10,"1994-07-11T00:00:00.000Z",NA,512
"21","Apeltes quadracus","Apeltes","quadracus",3814,"(Mitchill, 1815)","Fourspine stickleback","Apqua_u6.jpg",NA,NA,NA,260,NA,7254,NA,"fusiform / normal","O",NA,NA,0,-1,-1,-1,"benthopelagic",NA,NA,0,3,85409,NA,NA,NA,3,12193,4,273,16.15,6.4,"TL",NA,NA,5723,4.1,"TL",NA,NA,12193,NA,NA,NA,"APQUA_U1",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums",NA,273,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults occur mainly along weedy bays and backwaters, entering brackish water and to a limited extent, fresh water (Ref. 3814). Feed along the bottom, primarily on diatoms, worms and crustaceans by sucking in the prey with a pipetting action (Ref. 27549). Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).",NA,1,0,1,"1991-05-01T00:00:00.000Z",2291,"2016-03-28T00:00:00.000Z",10,"1994-08-10T00:00:00.000Z",NA,3269
"22","Apistus carinatus","Apistus","carinatus",3503,"(Bloch & Schneider, 1801)","Ocellated waspfish","Apcar_u5.jpg",NA,NA,NA,576,NA,4683,NA,"fusiform / normal","O",NA,"Genus <i>Hypodytes</i>, according to Paxton et al. 1989 (Ref. 7300).",0,0,0,-1,"demersal",NA,NA,14,60,30573,15,50,4313,NA,NA,NA,NA,10,20,"TL",NA,NA,48635,10,"TL",NA,NA,3503,NA,NA,NA,"APCAR_U2",NA,NA,NA,30573,"minor commercial","unknown",NA,NA,NA,NA,"trawls","unspecified bottom trawls (TB)",-1,0,0,0,0,-1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"venomous",4716,"no special ability",NA,NA,-1,"Inhabits soft bottoms of the continental shelf.  Primarily known from trawls over prawn-grounds but divers looking in suitable habitats can come across them, especially at night.  During the day it buries itself deep in the sand with just the eyes exposed.  When disturbed, it spreads its long pectoral fins with the bright upper color to deter predators.  It uses its fins to corner prey and has sensitive barbels below the mouth to detect those buried in the substrate (Ref. 48635).  Fin spines venomous (anterolateral glandular groove with venom gland (Ref. 57406))  (Ref. 30573).  Sold in small quantities either fresh or dried and salted in markets.  Minimum depth reported taken from Ref. 57178.",NA,1.125,0,10,"1992-09-12T00:00:00.000Z",1472,"2008-11-11T00:00:00.000Z",2,"1994-08-23T00:00:00.000Z",NA,6383
"23","Apodichthys flavidus","Apodichthys","flavidus",2850,"Girard, 1854","Penpoint gunnel","Apfla_u4.jpg",NA,NA,NA,395,NA,6003,NA,"eel-like","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,8,96339,NA,NA,NA,NA,NA,NA,NA,39.8,46,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in intertidal areas, especially in tide pools (Ref. 2850).  May remain out of the water under rocks or seaweeds (Ref. 31184).  Feeds on small crustaceans and mollusks (Ref. 6885).  Pairs are found coiled around egg masses (Ref. 4925).  Breathes air when out of water (Ref. 31184).",NA,0.75,0,1,"1991-05-01T00:00:00.000Z",2291,"2015-08-20T00:00:00.000Z",10,"1994-07-27T00:00:00.000Z",NA,3799
"24","Apodichthys fucorum","Apodichthys","fucorum",2850,"Jordan & Gilbert, 1880","Rockweed gunnel","Xefuc_u0.jpg",NA,NA,NA,395,NA,6003,NA,"eel-like","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,9,2850,NA,NA,NA,NA,NA,NA,NA,24.76,23,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Intertidal (Ref. 31184), commonly found in rockweed (<i>Fucus</i>) masses, in tide pools and inshore areas.  May remain out of water under rocks or seaweed (Ref. 31184).  Feeds on small crustaceans and mollusks.  Breathes air (Ref. 31184) and can stay out of water for 5-20 hours if kept moist (Ref. 51276).",NA,0.75,0,1,"1991-05-01T00:00:00.000Z",1,"2015-07-24T00:00:00.000Z",113,"1996-08-29T00:00:00.000Z",NA,3809
"25","Aptocyclus ventricosus","Aptocyclus","ventricosus",2850,"(Pallas, 1769)","Smooth lumpsucker","Apven_u1.jpg",NA,NA,NA,284,NA,5029,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"benthopelagic",NA,NA,612,1700,50550,NA,NA,NA,NA,NA,NA,NA,45.47,41,"TL",NA,NA,56527,NA,NA,NA,NA,NA,2300,NA,56527,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Males are said to guard the eggs (Ref. 6885).  Migrate to spawn in littoral waters of Bering Sea in December-June (Ref. 43939).",NA,1,0,1,"1991-05-01T00:00:00.000Z",2291,"2014-11-14T00:00:00.000Z",113,"1996-09-24T00:00:00.000Z",NA,4177
