"","autoctr","sciname","StockCode","EcologyRefNo","HabitatsRef","Neritic","SupraLittoralZone","Saltmarshes","LittoralZone","TidePools","Intertidal","SubLittoral","Caves","Oceanic","Epipelagic","Mesopelagic","Bathypelagic","Abyssopelagic","Hadopelagic","Estuaries","Mangroves","MarshesSwamps","CaveAnchialine","Stream","Lakes","Cave","Cave2","Herbivory2","HerbivoryRef","FeedingType","FeedingTypeRef","DietTroph","DietSeTroph","DietTLu","DietseTLu","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","AddRems","AssociationRef","Parasitism","Solitary","Symbiosis","Symphorism","Commensalism","Mutualism","Epiphytic","Schooling","SchoolingFrequency","SchoolingLifestage","Shoaling","ShoalingFrequency","ShoalingLifestage","SchoolShoalRef","AssociationsWith","AssociationsRemarks","OutsideHost","OHRemarks","InsideHost","IHRemarks","SubstrateRef","Benthic","Sessile","Mobile","Demersal","Endofauna","Pelagic","Megabenthos","Macrobenthos","Meiobenthos","SoftBottom","Sand","Coarse","Fine","Level","Sloping","Silt","Mud","Ooze","Detritus","Organic","HardBottom","Rocky","Rubble","Gravel","SpecialHabitatRef","Macrophyte","BedsBivalve","BedsRock","SeaGrassBeds","BedsOthers","CoralReefs","ReefExclusive","DropOffs","ReefFlats","Lagoons","Burrows","Tunnels","Crevices","Vents","Seamounts","DeepWaterCorals","Vegetation","Leaves","Stems","Roots","Driftwood","OInverterbrates","OIRemarks","Verterbrates","VRemarks","Pilings","BoatHulls","Corals","SoftCorals","OnPolyp","BetweenPolyps","HardCorals","OnExoskeleton","InterstitialSpaces","Entered","Dateentered","Modified","Datemodified","Expert","Datechecked","TS","SpecCode"
"11",2262,"Anisarchus medius",3985,10571,10571,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",10571,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA,3.22,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Found on muddy bottoms, generally preferring water below 0°C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1999-09-20T00:00:00.000Z",309,"2007-07-11T00:00:00.000Z",NA,NA,NA,3789
"12",2257,"Anoplarchus purpurescens",3972,6885,6885,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"plants/detritus+animals (troph. 2.2-2.79)",6885,"variable",6885,2.89,0.138,2.83,0.330000013113022,"Troph of juv./adults from 3 studies.",58686,3.14,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Usually found in intertidal areas under rocks (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Green algae is an important food item but may also feed on polychaete worms, crustaceans and mollusks (Ref. 6885).  Breathes air (Ref. 31184) and can remain out of water for 15-25 hours if kept moist (Ref. 51276).  Feeds on plants and benthic invertebrates (Ref. 6885).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1997-03-11T00:00:00.000Z",1472,"2008-05-13T00:00:00.000Z",NA,NA,NA,3776
"13",527,"Anoplopoma fimbria",528,2850,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",2850,"hunting macrofauna (predator)",42024,3.84,0.205,NA,NA,"Troph of juv./adults from 5 studies.",37513,4.12,0.85,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Is an omnivorous predatory fish of the continental slope of the northern Pacific. Its food includes planktonic, benthic, nectobenthic and nectonic organisms (Ref. 42024).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1999-09-16T00:00:00.000Z",309,"2008-06-16T00:00:00.000Z",NA,NA,NA,512
"14",2012,"Apeltes quadracus",3465,42285,52559,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,"mainly animals (troph. 2.8 and up)",42285,"hunting macrofauna (predator)",42285,NA,NA,NA,NA,NA,NA,3.23,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Occurs mainly along weedy bays and backwaters, entering brackish water and to a limited extent, fresh water. Food in the marine environment includes planktonic gammarids, isopods, chironomids and plants, while larvae of cladoceranas, chironomids, ephemeropterans, arthropods and other insects are eaten by freshwater populations.  It is preyed upon by American eels (<i>Anguilla rostrata</i>), killfish (<i>Fundulus</i>), Atlantic tomcod (<i>Microgadus tomcod</i>) and sticklebacks.",5951,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,"Parasites of the species include monogenetic trematodes (<i>Gyrodactylus avalonia</i>, <i>G. cameroni</i> and <i>G. canadensis</i>), digenetic trematode (<i>Podocotyle atomon</i>), cestode (<i>Proteocephalus</i>) sp. and a nematode (<i>Cystidicola farionis</i> (Ref. 5951).",0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"2003-02-19T00:00:00.000Z",309,"2007-08-01T00:00:00.000Z",NA,NA,NA,3269
"15",10087,"Apistus carinatus",6704,58534,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inhabits soft bottoms of the continental shelf.  Primarily known from trawls over prawn-grounds but divers looking in suitable habitats can come across them, especially at night.  During the day it buries itself deep in the sand with just the eyes exposed.  When disturbed, it spreads its long pectoral fins with the bright upper color to deter predators.  It uses its fins to corner prey and has sensitive barbels below the mouth to detect those buried in the substrate (Ref. 48635).  Fin spines venomous (anterolateral glandular groove with venom gland (Ref. 57406)) (Ref. 30573).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1472,"2007-09-05T00:00:00.000Z",1472,"2008-11-11T00:00:00.000Z",NA,NA,NA,6383
"16",2270,"Apodichthys flavidus",3995,6885,6885,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",6885,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA,3.55,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1997-03-24T00:00:00.000Z",1472,"2008-05-13T00:00:00.000Z",NA,NA,NA,3799
"17",2275,"Apodichthys fucorum",4005,6885,6885,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",6885,"hunting macrofauna (predator)",58686,3.39,0.41,3.31,0.479999989271164,"Troph of juv./adults from 1 study.",58686,3.46,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Intertidal (Ref. 31184), commonly found in rockweed (<i>Fucus</i>) masses, in tide pools and inshore areas.  May remain out of water under rocks or seaweed (Ref. 31184).  Feeds on small crustaceans and mollusks.  Breathes air (Ref. 31184) and can stay out of water for 5-20 hours if kept moist (Ref. 51276).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1997-03-11T00:00:00.000Z",309,"2007-08-30T00:00:00.000Z",NA,NA,NA,3809
"18",9458,"Aptocyclus ventricosus",4373,43939,43939,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",56398,"hunting macrofauna (predator)",56398,NA,NA,NA,NA,NA,58178,3.69,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Migrate to spawn in littoral waters of Bering Sea in December-June (Ref. 43939).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,"2006-07-07T00:00:00.000Z",NA,"2013-11-14T00:00:00.000Z",NA,NA,NA,4177
"19",9393,"Arctoscopus japonicus",477,559,559,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Found on sandy-mud bottoms (Ref. 559).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,"2006-03-24T00:00:00.000Z",10,"2013-11-13T00:00:00.000Z",NA,NA,NA,463
"20",2360,"Artediellus atlanticus",4237,4698,4698,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4698,"hunting macrofauna (predator)",4698,NA,NA,NA,NA,NA,NA,3.42,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Occur on sandy or muddy bottoms (Ref. 4698).  Benthic (Ref. 58426).  Feed on polychaetes, small mollusks and very rarely small crustaceans (Ref. 4698).  Lives at temperatures of  -1.7-4°C (Ref. 4698). In aquariums, males always observed close to egg clusters, likely as brood protection (Ref. 86779).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,574,"2000-11-06T00:00:00.000Z",2374,"2014-02-20T00:00:00.000Z",574,"2000-11-26T00:00:00.000Z",NA,4041
"21",2361,"Artediellus scaber",4238,4698,4698,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4698,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA,3.35,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Found on sand-mud bottoms, mostly in brackish waters with bottom temperatures mostly near to or below 0°C and salinities of 10-15 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small bottom invertebrates (Ref. 4698).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1999-09-20T00:00:00.000Z",309,"2007-07-10T00:00:00.000Z",NA,NA,NA,4042
"22",9749,"Artediellus uncinatus",4239,58426,58426,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",58426,"hunting macrofauna (predator)",58426,NA,NA,NA,NA,NA,NA,3.5,0.37,"Tentative trophic level derived from 1 + troph of a single food item",NA,"Found on sand, mud or hard bottoms (Ref. 4698).  Benthic; feeds on invertebrates (Ref. 58426).  Parasite found was a copepod, <i>Haemobaphes cyclopterina</i> (Ref. 5951).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,"2007-07-10T00:00:00.000Z",1472,"2013-11-14T00:00:00.000Z",NA,NA,NA,4043
"23",2362,"Artedius fenestralis",4242,4925,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4925,"hunting macrofauna (predator)",4925,NA,NA,NA,NA,NA,NA,4.03,0.7,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Feeds on shrimps and fish (Ref. 4925).34",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1997-03-24T00:00:00.000Z",NA,"2000-03-09T00:00:00.000Z",NA,NA,NA,4046
